"tender_id","title","description","org_chain","publish_date","closing_date","value","status"
"TEND-1025","Tender for Supply of Goods 25","Detailed description for tender 25 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-19","2026-05-19","2579115","Closed"
"TEND-1026","Tender for Supply of Goods 26","Detailed description for tender 26 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-12","2026-05-16","6811651","Closed"
"TEND-1027","Tender for Supply of Goods 27","Detailed description for tender 27 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-05","2026-05-15","3319236","Closed"
"TEND-1028","Tender for Supply of Goods 28","Detailed description for tender 28 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-03","2026-05-12","1486956","Awarded"
"TEND-1029","Tender for Supply of Goods 29","Detailed description for tender 29 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-20","2026-05-09","9158215","Awarded"
"TEND-1030","Tender for Supply of Goods 30","Detailed description for tender 30 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-18","2026-05-13","446887","Open"
"TEND-1031","Tender for Supply of Goods 31","Detailed description for tender 31 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-15","2026-05-12","2945204","Awarded"
"TEND-1032","Tender for Supply of Goods 32","Detailed description for tender 32 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-06","2026-05-18","5438722","Closed"
"TEND-1033","Tender for Supply of Goods 33","Detailed description for tender 33 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-21","2026-05-11","8228565","Open"
"TEND-1034","Tender for Supply of Goods 34","Detailed description for tender 34 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-22","2026-05-15","4292839","Open"
"TEND-1035","Tender for Supply of Goods 35","Detailed description for tender 35 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-10","2026-05-09","5872545","Closed"
"TEND-1036","Tender for Supply of Goods 36","Detailed description for tender 36 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-08","2026-05-12","145575","Awarded"
"TEND-1037","Tender for Supply of Goods 37","Detailed description for tender 37 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-23","2026-05-21","6545533","Open"
"TEND-1038","Tender for Supply of Goods 38","Detailed description for tender 38 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-07","2026-05-07","2170452","Awarded"
"TEND-1039","Tender for Supply of Goods 39","Detailed description for tender 39 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-07","2026-05-13","5090951","Closed"
"TEND-1040","Tender for Supply of Goods 40","Detailed description for tender 40 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-06","2026-05-16","9896537","Open"
"TEND-1041","Tender for Supply of Goods 41","Detailed description for tender 41 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-18","2026-05-17","7320868","Closed"
"TEND-1042","Tender for Supply of Goods 42","Detailed description for tender 42 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-12","2026-05-11","1661015","Closed"
"TEND-1043","Tender for Supply of Goods 43","Detailed description for tender 43 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-13","2026-05-19","2611126","Open"
"TEND-1044","Tender for Supply of Goods 44","Detailed description for tender 44 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-03","2026-05-18","6154679","Awarded"
"TEND-1045","Tender for Supply of Goods 45","Detailed description for tender 45 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-25","2026-05-14","6043919","Awarded"
"TEND-1046","Tender for Supply of Goods 46","Detailed description for tender 46 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-06","2026-05-08","2572815","Open"
"TEND-1047","Tender for Supply of Goods 47","Detailed description for tender 47 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-15","2026-05-07","326659","Closed"
"TEND-1048","Tender for Supply of Goods 48","Detailed description for tender 48 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-18","2026-05-18","1064974","Awarded"
"TEND-1049","Tender for Supply of Goods 49","Detailed description for tender 49 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-05","2026-05-18","5213247","Awarded"
"TEND-1050","Tender for Supply of Goods 50","Detailed description for tender 50 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-13","2026-05-16","5796010","Awarded"
"TEND-1051","Tender for Supply of Goods 51","Detailed description for tender 51 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-06","2026-05-18","2178512","Open"
"TEND-1052","Tender for Supply of Goods 52","Detailed description for tender 52 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-02","2026-05-09","7092652","Closed"
"TEND-1053","Tender for Supply of Goods 53","Detailed description for tender 53 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-12","2026-05-21","5068277","Open"
"TEND-1054","Tender for Supply of Goods 54","Detailed description for tender 54 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-27","2026-05-20","8012870","Awarded"
"TEND-1055","Tender for Supply of Goods 55","Detailed description for tender 55 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-22","2026-05-07","6514231","Closed"
"TEND-1056","Tender for Supply of Goods 56","Detailed description for tender 56 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-23","2026-05-15","822932","Open"
"TEND-1057","Tender for Supply of Goods 57","Detailed description for tender 57 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-14","2026-05-08","9813345","Closed"
"TEND-1058","Tender for Supply of Goods 58","Detailed description for tender 58 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-30","2026-05-19","8293795","Closed"
"TEND-1059","Tender for Supply of Goods 59","Detailed description for tender 59 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-19","2026-05-12","3119044","Closed"
"TEND-1060","Tender for Supply of Goods 60","Detailed description for tender 60 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-15","2026-05-08","1132642","Awarded"
"TEND-1061","Tender for Supply of Goods 61","Detailed description for tender 61 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-09","2026-05-09","1054774","Awarded"
"TEND-1062","Tender for Supply of Goods 62","Detailed description for tender 62 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-14","2026-05-07","9063330","Open"
"TEND-1063","Tender for Supply of Goods 63","Detailed description for tender 63 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-08","2026-05-07","4657732","Awarded"
"TEND-1064","Tender for Supply of Goods 64","Detailed description for tender 64 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-21","2026-05-13","1145976","Open"
"TEND-1065","Tender for Supply of Goods 65","Detailed description for tender 65 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-04","2026-05-08","2511014","Open"
"TEND-1066","Tender for Supply of Goods 66","Detailed description for tender 66 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-21","2026-05-08","2068620","Closed"
"TEND-1067","Tender for Supply of Goods 67","Detailed description for tender 67 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-30","2026-05-19","8310683","Awarded"
"TEND-1068","Tender for Supply of Goods 68","Detailed description for tender 68 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-29","2026-05-19","2532907","Open"
"TEND-1069","Tender for Supply of Goods 69","Detailed description for tender 69 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-13","2026-05-12","3545605","Awarded"
"TEND-1070","Tender for Supply of Goods 70","Detailed description for tender 70 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-17","2026-05-16","9536468","Open"
"TEND-1071","Tender for Supply of Goods 71","Detailed description for tender 71 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-09","2026-05-09","8968968","Open"
"TEND-1072","Tender for Supply of Goods 72","Detailed description for tender 72 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-09","2026-05-18","3858840","Open"
"TEND-1073","Tender for Supply of Goods 73","Detailed description for tender 73 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-27","2026-05-14","9047845","Closed"
"TEND-1074","Tender for Supply of Goods 74","Detailed description for tender 74 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-13","2026-05-10","3633243","Closed"
"TEND-1075","Tender for Supply of Goods 75","Detailed description for tender 75 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-19","2026-05-09","2317217","Awarded"
"TEND-1076","Tender for Supply of Goods 76","Detailed description for tender 76 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-24","2026-05-21","1902804","Open"
"TEND-1077","Tender for Supply of Goods 77","Detailed description for tender 77 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-03","2026-05-09","1100819","Open"
"TEND-1078","Tender for Supply of Goods 78","Detailed description for tender 78 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-02","2026-05-12","4287085","Open"
"TEND-1079","Tender for Supply of Goods 79","Detailed description for tender 79 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-23","2026-05-07","9742002","Closed"
"TEND-1080","Tender for Supply of Goods 80","Detailed description for tender 80 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-16","2026-05-12","7062851","Closed"
"TEND-1081","Tender for Supply of Goods 81","Detailed description for tender 81 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-22","2026-05-15","6577837","Open"
"TEND-1082","Tender for Supply of Goods 82","Detailed description for tender 82 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-16","2026-05-21","5283364","Open"
"TEND-1083","Tender for Supply of Goods 83","Detailed description for tender 83 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-26","2026-05-10","6816952","Awarded"
"TEND-1084","Tender for Supply of Goods 84","Detailed description for tender 84 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-19","2026-05-19","1865042","Awarded"
"TEND-1085","Tender for Supply of Goods 85","Detailed description for tender 85 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-25","2026-05-09","6723427","Open"
"TEND-1086","Tender for Supply of Goods 86","Detailed description for tender 86 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-08","2026-05-16","7034473","Open"
"TEND-1087","Tender for Supply of Goods 87","Detailed description for tender 87 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-01","2026-05-09","3375714","Awarded"
"TEND-1088","Tender for Supply of Goods 88","Detailed description for tender 88 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-02","2026-05-08","9245857","Awarded"
"TEND-1089","Tender for Supply of Goods 89","Detailed description for tender 89 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-27","2026-05-16","3285701","Awarded"
"TEND-1090","Tender for Supply of Goods 90","Detailed description for tender 90 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-10","2026-05-20","2929880","Open"
"TEND-1091","Tender for Supply of Goods 91","Detailed description for tender 91 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-01","2026-05-13","7243838","Closed"
"TEND-1092","Tender for Supply of Goods 92","Detailed description for tender 92 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-10","2026-05-13","9203016","Open"
"TEND-1093","Tender for Supply of Goods 93","Detailed description for tender 93 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-21","2026-05-16","2835353","Closed"
"TEND-1094","Tender for Supply of Goods 94","Detailed description for tender 94 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-21","2026-05-17","4864540","Awarded"
"TEND-1095","Tender for Supply of Goods 95","Detailed description for tender 95 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-11","2026-05-21","2766760","Awarded"
"TEND-1096","Tender for Supply of Goods 96","Detailed description for tender 96 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-28","2026-05-19","1708409","Open"
"TEND-1097","Tender for Supply of Goods 97","Detailed description for tender 97 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-13","2026-05-16","251228","Open"
"TEND-1098","Tender for Supply of Goods 98","Detailed description for tender 98 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-25","2026-05-16","2246783","Closed"
"TEND-1099","Tender for Supply of Goods 99","Detailed description for tender 99 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-17","2026-05-08","4882149","Awarded"
"TEND-1100","Tender for Supply of Goods 100","Detailed description for tender 100 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-23","2026-05-12","4027799","Awarded"
"TEND-1101","Tender for Supply of Goods 101","Detailed description for tender 101 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-16","2026-05-16","428562","Awarded"
"TEND-1102","Tender for Supply of Goods 102","Detailed description for tender 102 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-23","2026-05-11","6174296","Awarded"
"TEND-1103","Tender for Supply of Goods 103","Detailed description for tender 103 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-25","2026-05-11","6680380","Closed"
"TEND-1104","Tender for Supply of Goods 104","Detailed description for tender 104 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-19","2026-05-20","4526201","Open"
"TEND-1105","Tender for Supply of Goods 105","Detailed description for tender 105 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-28","2026-05-14","4663477","Open"
"TEND-1106","Tender for Supply of Goods 106","Detailed description for tender 106 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-16","2026-05-17","8170456","Closed"
"TEND-1107","Tender for Supply of Goods 107","Detailed description for tender 107 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-08","2026-05-17","7634262","Closed"
"TEND-1108","Tender for Supply of Goods 108","Detailed description for tender 108 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-26","2026-05-11","9092099","Open"
"TEND-1109","Tender for Supply of Goods 109","Detailed description for tender 109 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-19","2026-05-14","7688064","Open"
"TEND-1110","Tender for Supply of Goods 110","Detailed description for tender 110 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-09","2026-05-21","1084342","Closed"
"TEND-1111","Tender for Supply of Goods 111","Detailed description for tender 111 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-26","2026-05-09","5599681","Awarded"
"TEND-1112","Tender for Supply of Goods 112","Detailed description for tender 112 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-20","2026-05-17","9990234","Awarded"
"TEND-1113","Tender for Supply of Goods 113","Detailed description for tender 113 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-12","2026-05-20","5081924","Open"
"TEND-1114","Tender for Supply of Goods 114","Detailed description for tender 114 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-20","2026-05-12","4473242","Awarded"
"TEND-1115","Tender for Supply of Goods 115","Detailed description for tender 115 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-10","2026-05-19","8307011","Open"
"TEND-1116","Tender for Supply of Goods 116","Detailed description for tender 116 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-11","2026-05-21","4250363","Open"
"TEND-1117","Tender for Supply of Goods 117","Detailed description for tender 117 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-04","2026-05-08","6499378","Closed"
"TEND-1118","Tender for Supply of Goods 118","Detailed description for tender 118 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-12","2026-05-12","5254143","Closed"
"TEND-1119","Tender for Supply of Goods 119","Detailed description for tender 119 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-10","2026-05-08","5557438","Open"
"TEND-1120","Tender for Supply of Goods 120","Detailed description for tender 120 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-13","2026-05-08","9733221","Closed"
"TEND-1121","Tender for Supply of Goods 121","Detailed description for tender 121 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-05","2026-05-15","2302738","Awarded"
"TEND-1122","Tender for Supply of Goods 122","Detailed description for tender 122 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-25","2026-05-09","1347109","Open"
"TEND-1123","Tender for Supply of Goods 123","Detailed description for tender 123 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-04","2026-05-09","9341467","Awarded"
"TEND-1124","Tender for Supply of Goods 124","Detailed description for tender 124 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-19","2026-05-13","4878005","Awarded"
"TEND-1125","Tender for Supply of Goods 125","Detailed description for tender 125 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-12","2026-05-18","125426","Closed"
"TEND-1126","Tender for Supply of Goods 126","Detailed description for tender 126 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-20","2026-05-14","3999018","Open"
"TEND-1127","Tender for Supply of Goods 127","Detailed description for tender 127 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-07","2026-05-08","6284453","Awarded"
"TEND-1128","Tender for Supply of Goods 128","Detailed description for tender 128 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-07","2026-05-14","154721","Closed"
"TEND-1129","Tender for Supply of Goods 129","Detailed description for tender 129 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-14","2026-05-17","2396349","Open"
"TEND-1130","Tender for Supply of Goods 130","Detailed description for tender 130 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-08","2026-05-09","3231619","Open"
"TEND-1131","Tender for Supply of Goods 131","Detailed description for tender 131 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-08","2026-05-08","7121733","Open"
"TEND-1132","Tender for Supply of Goods 132","Detailed description for tender 132 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-09","2026-05-17","3901292","Closed"
"TEND-1133","Tender for Supply of Goods 133","Detailed description for tender 133 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-27","2026-05-09","6941418","Open"
"TEND-1134","Tender for Supply of Goods 134","Detailed description for tender 134 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-21","2026-05-09","9423986","Closed"
"TEND-1135","Tender for Supply of Goods 135","Detailed description for tender 135 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-28","2026-05-14","9164205","Open"
"TEND-1136","Tender for Supply of Goods 136","Detailed description for tender 136 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-03","2026-05-13","8582917","Closed"
"TEND-1137","Tender for Supply of Goods 137","Detailed description for tender 137 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-07","2026-05-13","2280914","Closed"
"TEND-1138","Tender for Supply of Goods 138","Detailed description for tender 138 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-02","2026-05-13","6486210","Awarded"
"TEND-1139","Tender for Supply of Goods 139","Detailed description for tender 139 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-10","2026-05-19","5455017","Closed"
"TEND-1140","Tender for Supply of Goods 140","Detailed description for tender 140 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-30","2026-05-10","4743820","Closed"
"TEND-1141","Tender for Supply of Goods 141","Detailed description for tender 141 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-15","2026-05-13","7709213","Closed"
"TEND-1142","Tender for Supply of Goods 142","Detailed description for tender 142 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-16","2026-05-14","8513516","Closed"
"TEND-1143","Tender for Supply of Goods 143","Detailed description for tender 143 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-02","2026-05-09","4115094","Open"
"TEND-1144","Tender for Supply of Goods 144","Detailed description for tender 144 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-28","2026-05-21","6918180","Open"
"TEND-1145","Tender for Supply of Goods 145","Detailed description for tender 145 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-16","2026-05-11","412907","Closed"
"TEND-1146","Tender for Supply of Goods 146","Detailed description for tender 146 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-05","2026-05-11","3084162","Awarded"
"TEND-1147","Tender for Supply of Goods 147","Detailed description for tender 147 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-09","2026-05-09","6195729","Closed"
"TEND-1148","Tender for Supply of Goods 148","Detailed description for tender 148 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-24","2026-05-11","2717147","Open"
"TEND-1149","Tender for Supply of Goods 149","Detailed description for tender 149 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-05","2026-05-16","1597817","Open"
"TEND-1150","Tender for Supply of Goods 150","Detailed description for tender 150 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-17","2026-05-07","7651840","Open"
"TEND-1151","Tender for Supply of Goods 151","Detailed description for tender 151 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-26","2026-05-20","2434180","Open"
"TEND-1152","Tender for Supply of Goods 152","Detailed description for tender 152 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-28","2026-05-16","6434469","Closed"
"TEND-1153","Tender for Supply of Goods 153","Detailed description for tender 153 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-18","2026-05-15","6764138","Open"
"TEND-1154","Tender for Supply of Goods 154","Detailed description for tender 154 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-28","2026-05-07","7730715","Awarded"
"TEND-1155","Tender for Supply of Goods 155","Detailed description for tender 155 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-20","2026-05-17","5120864","Open"
"TEND-1156","Tender for Supply of Goods 156","Detailed description for tender 156 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-25","2026-05-18","6349333","Awarded"
"TEND-1157","Tender for Supply of Goods 157","Detailed description for tender 157 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-01","2026-05-21","1865988","Closed"
"TEND-1158","Tender for Supply of Goods 158","Detailed description for tender 158 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-04","2026-05-20","9481361","Closed"
"TEND-1159","Tender for Supply of Goods 159","Detailed description for tender 159 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-11","2026-05-07","6208398","Awarded"
"TEND-1160","Tender for Supply of Goods 160","Detailed description for tender 160 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-26","2026-05-14","2919467","Closed"
"TEND-1161","Tender for Supply of Goods 161","Detailed description for tender 161 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-28","2026-05-07","3484389","Open"
"TEND-1162","Tender for Supply of Goods 162","Detailed description for tender 162 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-07","2026-05-08","825493","Closed"
"TEND-1163","Tender for Supply of Goods 163","Detailed description for tender 163 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-12","2026-05-17","5494143","Open"
